日期,市場別,指數名稱,收盤價,漲跌點數
2026-03-12,上市,加權指數,33581.86,-532.33
2026-03-12,上櫃,櫃買指數,311.59,0.09
2026-03-11,上市,加權指數,34114.19,1342.32
2026-03-11,上櫃,櫃買指數,311.5,13.97
2026-03-10,上市,加權指數,32771.87,661.45
2026-03-10,上櫃,櫃買指數,297.53,8.57
2026-03-09,上市,加權指數,32110.42,-1489.12
2026-03-09,上櫃,櫃買指數,288.96,-17.53
2026-03-06,上市,加權指數,33599.54,-73.4
2026-03-06,上櫃,櫃買指數,306.49,2.28
2026-03-05,上市,加權指數,33672.94,844.06
2026-03-05,上櫃,櫃買指數,304.21,10.41
2026-03-04,上市,加權指數,32828.88,-1494.77
2026-03-04,上櫃,櫃買指數,293.8,-15.01
2026-03-03,上市,加權指數,34323.65,-771.44
2026-03-03,上櫃,櫃買指數,308.81,-7.2
2026-03-02,上市,加權指數,35095.09,-319.4
2026-03-02,上櫃,櫃買指數,316.01,-0.72
2026-02-26,上市,加權指數,35414.49,1.42
2026-02-26,上櫃,櫃買指數,316.73,3.49
2026-02-25,上市,加權指數,35413.07,712.25
2026-02-25,上櫃,櫃買指數,313.24,1.8
2026-02-24,上市,加權指數,34700.82,927.56
2026-02-24,上櫃,櫃買指數,311.44,7.61
2026-02-23,上市,加權指數,33773.26,167.55
2026-02-23,上櫃,櫃買指數,303.83,6.12
2026-02-11,上市,加權指數,33605.71,532.74
2026-02-11,上櫃,櫃買指數,297.71,1.19
2026-02-10,上市,加權指數,33072.97,668.35
2026-02-10,上櫃,櫃買指數,296.52,-0.1
2026-02-09,上市,加權指數,32404.62,621.7
2026-02-09,上櫃,櫃買指數,296.62,5.9
2026-02-06,上市,加權指數,31782.92,-18.35
2026-02-06,上櫃,櫃買指數,290.72,-5.64
2026-02-05,上市,加權指數,31801.27,-488.54
2026-02-05,上櫃,櫃買指數,296.36,-5.16
2026-02-04,上市,加權指數,32289.81,94.45
2026-02-04,上櫃,櫃買指數,301.52,3.26
2026-02-03,上市,加權指數,32195.36,571.33
2026-02-03,上櫃,櫃買指數,298.26,3.94
2026-02-02,上市,加權指數,31624.03,-439.72
2026-02-02,上櫃,櫃買指數,294.32,-6.46
2026-01-30,上市,加權指數,32063.75,-472.52
2026-01-30,上櫃,櫃買指數,300.78,-4.7
2026-01-29,上市,加權指數,32536.27,-267.55
2026-01-29,上櫃,櫃買指數,305.48,-3.8
2026-01-28,上市,加權指數,32803.82,485.9
2026-01-28,上櫃,櫃買指數,309.28,4.02
2026-01-27,上市,加權指數,32317.92,253.4
2026-01-27,上櫃,櫃買指數,305.26,2.61
2026-01-26,上市,加權指數,32064.52,103.01
2026-01-26,上櫃,櫃買指數,302.65,3.39
2026-01-23,上市,加權指數,31961.51,215.43
2026-01-23,上櫃,櫃買指數,299.26,1.44
2026-01-22,上市,加權指數,31746.08,499.71
2026-01-22,上櫃,櫃買指數,297.82,4.66
2026-01-21,上市,加權指數,31246.37,-513.62
2026-01-21,上櫃,櫃買指數,293.16,-4.45
2026-01-20,上市,加權指數,31759.99,120.7
2026-01-20,上櫃,櫃買指數,297.61,2.5
2026-01-19,上市,加權指數,31639.29,230.59
2026-01-19,上櫃,櫃買指數,295.11,2.33
2026-01-16,上市,加權指數,31408.7,598.12
2026-01-16,上櫃,櫃買指數,292.78,1.62
2026-01-15,上市,加權指數,30810.58,-131.2
2026-01-15,上櫃,櫃買指數,291.16,0.56
2026-01-14,上市,加權指數,30941.78,234.56
2026-01-14,上櫃,櫃買指數,290.6,5.24
2026-01-13,上市,加權指數,30707.22,139.93
2026-01-13,上櫃,櫃買指數,285.36,-1.21
2026-01-12,上市,加權指數,30567.29,278.33
2026-01-12,上櫃,櫃買指數,286.57,6.72
