日期,代號,名稱,市場別,收盤價,漲跌幅,成交量,本益比,主力淨買超
2026-07-06,00928,中信上櫃ESG 30,上櫃,38.44,-0.88,3969000,,-2115830.0
2026-07-06,00929,復華台灣科技優息,上市,31.36,0.02,27171621,,-7058458.0
2026-07-06,00930,永豐ESG低碳高息,上市,25.0,0.03,720599,,212141.0
2026-07-06,00931B,統一美債20年,上櫃,13.73,0.04,4681000,,1399814.0
2026-07-06,00932,兆豐永續高息等權,上市,18.16,0.2,929729,,772830.0
2026-07-06,00933B,國泰10Y+金融債,上櫃,16.31,0.05,7063000,,2549200.0
2026-07-06,00934,中信成長高股息,上市,28.67,0.03,3008542,,-545741.0
2026-07-06,00935,野村臺灣新科技50,上市,61.5,-0.8,10448972,,-1258408.0
2026-07-06,00936,台新永續高息中小,上市,21.25,-0.05,1766198,,835237.0
2026-07-06,00937B,群益ESG投等債20+,上櫃,15.12,0.06,42477000,,26563015.0
2026-07-06,00938,凱基優選30,上市,24.63,0.28,2233583,,161963.0
2026-07-06,00939,統一台灣高息動能,上市,21.44,0.16,6335938,,2182214.0
2026-07-06,00940,元大台灣價值高息,上市,12.74,0.01,16755803,,3108066.0
2026-07-06,00941,中信上游半導體,上市,28.75,0.11,1401843,,-111273.0
2026-07-06,00942B,台新美A公司債20+,上櫃,14.54,0.06,2485000,,-16691.0
2026-07-06,00943,兆豐電子高息等權,上市,23.13,0.12,116158,,13957.0
2026-07-06,00944,野村趨勢動能高息,上市,22.26,0.01,400213,,78853.0
2026-07-06,00945B,凱基美國非投等債,上市,14.64,0.06,5473974,,849173.0
2026-07-06,00946,群益科技高息成長,上市,15.71,0.0,6509371,,2904808.0
2026-07-06,00947,台新臺灣IC設計,上市,38.38,-0.42,6973091,,-884318.0
2026-07-06,00948B,中信優息投資級債,上櫃,9.63,0.03,4834000,,1251263.0
2026-07-06,00949,復華日本龍頭,上市,21.09,0.1,595590,,416451.0
2026-07-06,00950B,凱基A級公司債,上櫃,14.27,0.05,6965000,,838923.0
2026-07-06,00951,台新日本半導體,上市,20.49,-0.13,3332398,,-111489.0
2026-07-06,00952,凱基台灣AI50,上市,18.96,0.08,3647807,,197763.0
2026-07-06,00953B,群益優選非投等債,上市,9.71,0.0,26046856,,5112452.0
2026-07-06,00954,中信日本半導體,上市,21.84,-0.2,3095292,,-863205.0
2026-07-06,00955,中信日本商社,上櫃,14.44,0.11,3818000,,742302.0
2026-07-06,00956,中信日經高股息,上市,12.63,0.17,356453,,8006.0
2026-07-06,00957B,兆豐US優選投等債,上櫃,13.72,0.05,529000,,204743.0
2026-07-06,00958B,永豐ESG銀行債15+,上櫃,9.47,0.03,156000,,143000.0
2026-07-06,00959B,大華投等美債15Y+,上櫃,9.51,0.01,1152000,,947957.0
2026-07-06,00960,野村全球航運龍頭,上市,17.41,0.16,951126,,-64275.0
2026-07-06,00961,FT臺灣永續高息,上市,12.91,0.13,21133565,,-14234256.0
2026-07-06,00962,台新AI優息動能,上市,15.17,0.09,667425,,92368.0
2026-07-06,00963,中信全球高股息,上市,12.75,0.04,985198,,422655.0
2026-07-06,00964,中信亞太高股息,上市,14.32,0.13,2899024,,364009.0
2026-07-06,00965,元大航太防衛科技,上市,26.0,0.45,6513299,,3055813.0
2026-07-06,00966B,統一ESG投等債15+,上櫃,14.16,0.06,923000,,396656.0
2026-07-06,00967B,元大優息美債,上櫃,9.25,0.04,494000,,262691.0
2026-07-06,00968B,元大優息投等債,上櫃,9.43,0.04,1432000,,907513.0
2026-07-06,00969B,元大零息超長美債,上櫃,8.52,0.02,1076000,,970146.0
2026-07-06,00970B,新光BBB投等債20+,上櫃,9.55,0.02,655000,,112145.0
2026-07-06,00971,野村美國研發龍頭,上市,17.13,0.06,646819,,234658.0
2026-07-06,00972,野村日本動能高息,上市,20.22,0.31,241164,,177284.0
2026-07-06,009800,中信NASDAQ,上市,13.18,0.02,1889847,,-276918.0
2026-07-06,009801,中信美國創新科技,上市,12.27,0.04,536912,,134361.0
2026-07-06,009802,富邦旗艦50,上市,19.53,-0.03,3843982,,170592.0
2026-07-06,009803,玉山市值動能50,上市,21.89,-0.06,1951540,,214272.0
2026-07-06,009804,聯邦台精彩50,上市,24.27,-0.17,6210325,,-4711699.0
2026-07-06,009805,新光美國電力基建,上市,16.8,-0.02,5846581,,2091949.0
2026-07-06,009806,台新標普500,上櫃,13.42,0.05,24000,,4784.0
2026-07-06,009807,台新標普科技精選,上櫃,16.65,0.1,51000,,44828.0
2026-07-06,009808,華南永昌優選50,上市,32.06,0.06,272014,,20959.0
2026-07-06,009809,富邦淨零ESG50,上市,18.18,0.07,827912,,-127505.0
2026-07-06,00980A,主動野村臺灣優選,上市,24.55,-0.56,11112490,,-786492.0
2026-07-06,00980B,台新特選IG債10+,上櫃,9.65,0.04,430000,,227528.0
2026-07-06,00980D,主動聯博投等入息,上櫃,20.64,0.06,416000,,-31277.0
2026-07-06,00980T,平衡凱基美國TOP,上櫃,11.44,0.03,601000,,227290.0
2026-07-06,009810,玉山全球藍籌100,上市,20.59,0.07,440417,,49840.0
2026-07-06,009811,統一美國50,上市,13.02,0.07,1182346,,546426.0
2026-07-06,009812,野村日本東證,上市,12.71,0.11,517725,,210994.0
2026-07-06,009813,貝萊德標普卓越50,上市,11.09,0.06,2391723,,1107821.0
2026-07-06,009814,富邦標普500,上櫃,11.18,0.04,1163000,,12585.0
2026-07-06,009815,大華美國MAG7+,上櫃,11.21,0.04,4992000,,2716536.0
2026-07-06,009816,凱基台灣TOP50,上市,15.65,-0.1,121556536,,-25353974.0
2026-07-06,009817,國泰日本不動產,上市,9.07,0.05,1804788,,604742.0
2026-07-06,009818,華南永昌NASDAQxT,上市,19.78,0.04,235009,,157606.0
2026-07-06,009819,中信數據及電力,上市,10.08,-0.02,8145400,,1561067.0
2026-07-06,00981A,主動統一台股增長,上市,31.2,-1.06,245323341,,-120153033.0
2026-07-06,00981B,第一金優選非投債,上櫃,9.32,0.03,10440000,,-473755.0
2026-07-06,00981D,主動中信非投等債,上櫃,10.5,0.04,6596000,,-596255.0
2026-07-06,00981T,平衡凱基雙核收息,上市,12.39,0.04,1648505,,-497982.0
2026-07-06,009820,元大納斯達克精選,上市,9.84,0.01,5327585,,-668631.0
2026-07-06,009821,野村稀土關鍵資源,上市,14.35,-0.06,15895847,,-2849531.0
2026-07-06,009822,華南永昌未來金融,上櫃,9.84,-0.01,652000,,531759.0
2026-07-06,009823,群益S&P500,上櫃,10.31,0.04,10609000,,-5576507.0
2026-07-06,009824,群益美國科技巨頭,上市,9.97,0.0,14350919,,-539225.0
2026-07-06,00982A,主動群益台灣強棒,上市,25.28,-0.23,27102336,,-1460762.0
2026-07-06,00982B,FT投資級債20+,上櫃,9.96,0.05,35000,,33000.0
2026-07-06,00982D,主動富邦動態入息,上市,10.04,0.02,2563330,,-432001.0
2026-07-06,00982T,平衡兆豐台美動能,上市,16.0,0.02,70765,,24735.0
2026-07-06,00983A,主動中信ARK創新,上市,12.47,0.04,2418060,,1906629.0
2026-07-06,00983B,大華優利美公債20,上櫃,15.84,0.05,233000,,148172.0
2026-07-06,00983D,主動富邦複合收益,上市,10.23,0.04,822283,,165000.0
2026-07-06,00984A,主動安聯台灣高息,上市,16.76,-0.14,23133395,,-18736313.0
2026-07-06,00984B,大華優利美A債15,上櫃,16.55,0.06,909000,,405778.0
2026-07-06,00984D,主動聯博全球非投,上市,10.16,0.04,10948738,,-2626000.0
2026-07-06,00985A,主動野村台灣50,上市,22.3,-0.2,4910109,,101135.0
2026-07-06,00985B,群益ESG投等債0-5,上市,10.31,0.0,5619325,,-1089985.0
2026-07-06,00985D,主動貝萊德優投等,上櫃,10.34,0.04,748000,,-369660.0
2026-07-06,00986A,主動台新龍頭成長,上市,15.13,-0.03,269627,,72121.0
2026-07-06,00986B,FT金融債10+,上櫃,9.99,-0.01,10000,,10995.0
2026-07-06,00986D,主動復華金融債息,上櫃,14.93,0.03,1432000,,452202.0
2026-07-06,00987A,主動台新優勢成長,上市,16.89,-0.55,4011886,,-923000.0
2026-07-06,00987B,野村10+澳洲公債,上櫃,15.98,0.05,861000,,587981.0
2026-07-06,00988A,主動統一全球創新,上市,20.83,-0.5,87407326,,-41995451.0
2026-07-06,00988B,玉山嚴選非投債,上櫃,20.0,0.09,4416000,,-2748817.0
2026-07-06,00989A,主動摩根美國科技,上市,17.99,0.05,1109605,,166000.0
2026-07-06,00989B,台新美國非投等債,上櫃,10.27,0.05,2365000,,-192000.0
2026-07-06,00990A,主動元大AI新經濟,上市,19.32,-0.44,42216842,,-16938139.0
2026-07-06,00991A,主動復華未來50,上市,20.05,-0.68,196714655,,-132935126.0
2026-07-06,00992A,主動群益科技創新,上市,18.6,-0.5,54965378,,-32358473.0
2026-07-06,00993A,主動安聯台灣,上市,14.0,-0.4,10805731,,-2413072.0
2026-07-06,00994A,主動第一金台股優,上市,17.68,-0.58,7733112,,-2592839.0
2026-07-06,00995A,主動中信台灣卓越,上市,18.1,-0.58,6495227,,-1546660.0
2026-07-06,00996A,主動兆豐台灣豐收,上市,15.65,-0.58,12198065,,-5165278.0
2026-07-06,00997A,主動群益美國增長,上市,13.14,0.0,38234949,,-20156214.0
2026-07-06,00998A,主動復華金融股息,上櫃,17.1,0.06,2243000,,641999.0
2026-07-06,00999A,主動野村臺灣高息,上市,11.03,-0.14,15173711,,3393977.0
2026-07-06,01001T,土銀富邦R1,上市,11.5,-0.06,159310,,
