代號,更新日期,名稱,市場別,產業別,實收資本額,發行股數
1475,2026-08-30,台灣業旺股份有限公司,上市,紡織纖維,660167490,66016749
1476,2026-08-30,儒鴻企業股份有限公司,上市,紡織纖維,2743671110,274367111
1477,2026-08-30,聚陽實業股份有限公司,上市,紡織纖維,2466937130,246693713
1503,2026-08-30,士林電機廠股份有限公司,上市,電機機械,5209722230,520972223
1504,2026-08-30,東元電機股份有限公司,上市,電機機械,23764406840,2376440684
1506,2026-08-30,正道工業股份有限公司,上市,電機機械,3003885010,300388501
1512,2026-08-30,瑞利企業股份有限公司,上市,汽車工業,981834980,98183498
1513,2026-08-30,中興電工機械股份有限公司,上市,電機機械,5031125150,503112515
1514,2026-08-30,亞力電機股份有限公司,上市,電機機械,2785706420,278570642
1515,2026-08-30,力山工業股份有限公司,上市,電機機械,1814735000,181473500
1516,2026-08-30,川飛能源股份有限公司,上市,其他,400081950,40008195
1517,2026-08-30,利奇機械工業股份有限公司,上市,電機機械,2200000070,220000007
1519,2026-08-30,華城電機股份有限公司,上市,電機機械,3474689290,347468929
1521,2026-08-30,大億交通工業製造股份有限公司,上市,汽車工業,762300000,76230000
1522,2026-08-30,堤維西交通工業股份有限公司,上市,汽車工業,3428978810,312897881
1524,2026-08-30,耿鼎企業股份有限公司,上市,汽車工業,1653103970,165310397
1525,2026-08-30,江申工業股份有限公司,上市,汽車工業,734001350,73400135
1526,2026-08-30,日馳企業股份有限公司,上市,電機機械,600000000,60000000
1527,2026-08-30,鑽全實業股份有限公司,上市,電機機械,1385706400,138570640
1528,2026-08-30,恩德科技股份有限公司,上市,電機機械,1913310000,191331000
1529,2026-08-30,樂事綠能科技股份有限公司,上市,電機機械,1550950740,155095074
1530,2026-08-30,亞崴機電股份有限公司,上市,電機機械,945941710,94594171
1531,2026-08-30,高林股份有限公司,上市,電機機械,1821080800,182108080
1532,2026-08-30,勤美股份有限公司,上市,電機機械,4226042710,422604271
1533,2026-08-30,車王電子股份有限公司,上市,汽車工業,985474860,98547486
1535,2026-08-30,中宇環保工程股份有限公司,上市,電機機械,1237425520,123742552
1536,2026-08-30,和大工業股份有限公司,上市,汽車工業,2789595130,278959513
1537,2026-08-30,廣隆光電科技股份有限公司,上市,電機機械,820627940,82062794
1538,2026-08-30,正峰工業股份有限公司,上市,電機機械,323000000,32300000
1539,2026-08-30,巨庭機械股份有限公司,上市,電機機械,653700000,65370000
1540,2026-08-30,喬福機械工業股份有限公司,上市,電機機械,854736120,85473612
1541,2026-08-30,錩泰工業股份有限公司,上市,電機機械,788000000,78800000
1558,2026-08-30,伸興工業股份有限公司,上市,電機機械,645356310,64535631
1560,2026-08-30,中國砂輪企業股份有限公司,上市,電機機械,1489252710,148925271
1563,2026-08-30,巧新科技工業股份有限公司,上市,汽車工業,2256081400,225608140
1565,2026-08-30,精華光學股份有限公司,上櫃,生技醫療業,504165160,50416516
1568,2026-08-30,倉佑實業股份有限公司,上市,汽車工業,1030865590,103086559
1569,2026-08-30,濱川企業股份有限公司,上櫃,電腦及週邊,1442474410,144247441
1570,2026-08-30,力肯實業股份有限公司,上櫃,電機機械,515008390,51500839
1580,2026-08-30,新麥企業股份有限公司,上櫃,電機機械,493392420,49339242
1582,2026-08-30,信錦企業股份有限公司,上市,電子零組件,1442686040,144268604
1583,2026-08-30,程泰機械股份有限公司,上市,電機機械,1094003720,109400372
1584,2026-08-30,精剛精密科技股份有限公司,上櫃,其他,2324705330,232470533
1586,2026-08-30,和勤精機股份有限公司,上櫃,電機機械,1295004670,129500467
1587,2026-08-30,吉茂精密股份有限公司,上市,汽車工業,800556720,80055672
1589,2026-08-30,永冠能源科技集團有限公司,上市,電機機械,1531359410,153135941
1590,2026-08-30,亞德客國際集團,上市,電機機械,1999999980,199999998
1591,2026-08-30,英屬開曼群島商駿吉控股(股)公司,上櫃,電機機械,380480470,38048047
1593,2026-08-30,祺驊股份有限公司,上櫃,運動休閒,397847720,39784772
1595,2026-08-30,川寶科技股份有限公司,上櫃,半導體業,562233520,56223352
1597,2026-08-30,直得科技股份有限公司,上市,電機機械,892618040,89261804
1598,2026-08-30,岱宇國際股份有限公司,上市,運動休閒,1791420920,179142092
1599,2026-08-30,宏佳騰動力科技股份有限公司,上櫃,電機機械,730287640,73028764
1603,2026-08-30,中華電線電纜股份有限公司,上市,電器電纜,1916880000,191688000
1604,2026-08-30,聲寶股份有限公司,上市,電器電纜,3842000000,384200000
1605,2026-08-30,華新麗華股份有限公司,上市,電器電纜,44313329480,4431332948
1608,2026-08-30,華榮電線電纜股份有限公司,上市,電器電纜,6327735060,632773506
1609,2026-08-30,大亞電線電纜股份有限公司,上市,電器電纜,7852619440,785261944
1611,2026-08-30,中國電器股份有限公司,上市,電器電纜,3227357420,322735742
1612,2026-08-30,宏泰電工股份有限公司,上市,電器電纜,3160800630,316080063
1614,2026-08-30,台灣三洋電機股份有限公司,上市,電器電纜,2691134060,269113406
1615,2026-08-30,大山電線電纜股份有限公司,上市,電器電纜,1986303390,198630339
1616,2026-08-30,億泰電線電纜股份有限公司,上市,電器電纜,1941485150,194148515
1617,2026-08-30,榮星電線工業股份有限公司,上市,電器電纜,1695147000,169514700
1618,2026-08-30,合機電線電纜股份有限公司,上市,電器電纜,1926917470,192691747
1623,2026-08-30,大東電業廠股份有限公司,上市,電器電纜,660000000,66000000
1626,2026-08-30,艾美特(開曼)國際有限公司,上市,電器電纜,1498217210,149821721
1702,2026-08-30,南僑投資控股股份有限公司,上市,食品工業,2941329620,294132962
1707,2026-08-30,葡萄王生技股份有限公司,上市,生技醫療業,1481373730,148137373
1708,2026-08-30,東南實業股份有限公司,上市,化學工業,2490016510,249001651
1709,2026-08-30,和益化學工業股份有限公司,上市,化學工業,4770162720,477016272
1710,2026-08-30,東聯化學股份有限公司,上市,化學工業,8857030290,885703029
1711,2026-08-30,臺灣永光化學工業股份有限公司,上市,化學工業,5477522260,547752226
1712,2026-08-30,興農股份有限公司,上市,化學工業,4204925850,420492585
1713,2026-08-30,國泰化工廠股份有限公司,上市,化學工業,1509517000,150951700
1714,2026-08-30,和桐化學股份有限公司,上市,化學工業,9918248080,991824808
1717,2026-08-30,長興材料工業股份有限公司,上市,化學工業,11842454830,1184245483
1718,2026-08-30,中國人造纖維股份有限公司,上市,化學工業,16859057450,1685905745
1720,2026-08-30,生達化學製藥股份有限公司,上市,生技醫療業,1965656980,196565698
1721,2026-08-30,國慶科技股份有限公司,上市,化學工業,1848840920,184884092
1722,2026-08-30,台灣肥料股份有限公司,上市,化學工業,9800000000,980000000
1723,2026-08-30,中鋼碳素化學股份有限公司,上市,化學工業,2369044800,236904480
1725,2026-08-30,元禎企業股份有限公司,上市,化學工業,1818299780,181829978
1726,2026-08-30,永記造漆工業股份有限公司,上市,化學工業,1620000000,162000000
1727,2026-08-30,臺灣中華化學工業股份有限公司,上市,化學工業,1280195590,128019559
1730,2026-08-30,花仙子企業股份有限公司,上市,化學工業,632338510,63233851
1731,2026-08-30,美吾華股份有限公司,上市,生技醫療業,1329152440,132915244
1732,2026-08-30,毛寶股份有限公司,上市,化學工業,424439570,42443957
1733,2026-08-30,五鼎生物技術股份有限公司,上市,生技醫療業,999501920,99950192
1734,2026-08-30,杏輝藥品工業股份有限公司,上市,生技醫療業,1901967740,190196774
1735,2026-08-30,日勝化工股份有限公司,上市,化學工業,993880000,99388000
1736,2026-08-30,喬山健康科技股份有限公司,上市,運動休閒,3033946170,303394617
1737,2026-08-30,臺鹽實業股份有限公司,上市,食品工業,2000000000,200000000
1742,2026-08-30,台灣蠟品股份有限公司,上櫃,化學工業,926713000,92671300
1752,2026-08-30,南光化學製藥股份有限公司,上市,生技醫療業,1009884720,100988472
1760,2026-08-30,寶齡富錦生技股份有限公司,上市,生技醫療業,857390130,85739013
1762,2026-08-30,中化合成生技股份有限公司,上市,生技醫療業,769180000,76918000
1773,2026-08-30,勝一化工股份有限公司,上市,化學工業,3000000000,300000000
1776,2026-08-30,展宇科技材料股份有限公司,上市,化學工業,601069520,60106952
1777,2026-08-30,生泰合成工業股份有限公司,上櫃,生技醫療業,445917130,44591713
1780,2026-08-30,立弘生化科技股份有限公司,上櫃,食品工業,1090751730,109075173
1781,2026-08-30,合世生醫科技股份有限公司,上櫃,生技醫療業,474076050,47407605
1783,2026-08-30,和康生物科技股份有限公司,上市,生技醫療業,896981150,89698115
1784,2026-08-30,訊聯生物科技股份有限公司,上櫃,生技醫療業,531211910,53121191
1785,2026-08-30,光洋應用材料科技股份有限公司,上櫃,其他電子業,5959802430,595980243
1786,2026-08-30,科妍生物科技股份有限公司,上市,生技醫療業,748276410,74827641
1788,2026-08-30,杏昌生技股份有限公司,上櫃,生技醫療業,445209710,44520971
1789,2026-08-30,台灣神隆股份有限公司,上市,生技醫療業,7907392220,790739222
1795,2026-08-30,美時化學製藥股份有限公司,上市,生技醫療業,2668738120,266873812
1796,2026-08-30,金穎生物科技股份有限公司,上櫃,食品工業,414597930,41459793
1799,2026-08-30,易威生醫科技股份有限公司,上櫃,生技醫療業,2487758940,248775894
1802,2026-08-30,台灣玻璃工業股份有限公司,上市,玻璃陶瓷,29080608000,2908060800
1805,2026-08-30,寶徠建設股份有限公司,上市,建材營造,1349704550,134970455
1806,2026-08-30,冠軍建材股份有限公司,上市,玻璃陶瓷,3904038700,390403870
1808,2026-08-30,潤隆建設股份有限公司,上市,建材營造,8930317430,893031743
1809,2026-08-30,中國製釉股份有限公司,上市,玻璃陶瓷,1670419370,167041937
1810,2026-08-30,和成欣業股份有限公司,上市,玻璃陶瓷,3023037190,302303719
1813,2026-08-30,寶利徠光學科技股份有限公司,上櫃,生技醫療業,466355100,46635510
1815,2026-08-30,富喬工業股份有限公司,上櫃,電子零組件,5854594870,585459487
1817,2026-08-30,凱撒衛浴股份有限公司,上市,玻璃陶瓷,726000000,72600000
1903,2026-08-30,士林紙業股份有限公司,上市,造紙工業,2600391210,260039121
1904,2026-08-30,正隆股份有限公司,上市,造紙工業,11082745220,1108274522
1905,2026-08-30,中華紙漿股份有限公司,上市,造紙工業,11028353160,1102835316
1906,2026-08-30,寶隆國際股份有限公司,上市,造紙工業,1510000000,151000000
1907,2026-08-30,永豐餘投資控股股份有限公司,上市,造紙工業,16603714950,1660371495
1909,2026-08-30,榮成紙業股份有限公司,上市,造紙工業,13276857270,1327685727
2002,2026-08-30,中國鋼鐵股份有限公司,上市,鋼鐵工業,157731289960,15734860997
2006,2026-08-30,東和鋼鐵企業股份有限公司,上市,鋼鐵工業,7302138180,730213818
2007,2026-08-30,燁興企業股份有限公司,上市,鋼鐵工業,5306516130,530651613
2008,2026-08-30,高興昌鋼鐵股份有限公司,上市,鋼鐵工業,1908522930,190852293
2009,2026-08-30,第一伸銅科技股份有限公司,上市,鋼鐵工業,3596221650,359622165
2010,2026-08-30,春源鋼鐵工業股份有限公司,上市,鋼鐵工業,6476553900,647655390
2012,2026-08-30,春雨工廠股份有限公司,上市,鋼鐵工業,3021627000,302162700
2013,2026-08-30,中國鋼鐵結構股份有限公司,上市,鋼鐵工業,2000000000,200000000
2014,2026-08-30,中鴻鋼鐵股份有限公司,上市,鋼鐵工業,14355444460,1435544446
2015,2026-08-30,豐興鋼鐵股份有限公司,上市,鋼鐵工業,5815994240,581599424
2017,2026-08-30,官田鋼鐵股份有限公司,上市,鋼鐵工業,4468746910,446874691
2020,2026-08-30,美亞鋼管廠股份有限公司,上市,鋼鐵工業,2670313200,267031320
2022,2026-08-30,聚亨企業股份有限公司,上市,鋼鐵工業,3371681380,337168138
2023,2026-08-30,燁輝企業股份有限公司,上市,鋼鐵工業,18212402140,1821240214
2024,2026-08-30,志聯工業股份有限公司,上市,鋼鐵工業,975000000,97500000
2025,2026-08-30,千興不銹鋼(股)公司,上市,鋼鐵工業,1726605360,172660536
2027,2026-08-30,大成不銹鋼工業股份有限公司,上市,鋼鐵工業,25842606150,2584260615
2028,2026-08-30,威致鋼鐵工業股份有限公司,上市,鋼鐵工業,3257148000,325714800
2029,2026-08-30,盛餘股份有限公司,上市,鋼鐵工業,3211800000,321180000
2030,2026-08-30,彰源企業股份有限公司,上市,鋼鐵工業,2805260270,280526027
2031,2026-08-30,新光鋼鐵股份有限公司,上市,鋼鐵工業,3211463410,321146341
2032,2026-08-30,新鋼工業股份有限公司,上市,鋼鐵工業,1305215450,130521545
2033,2026-08-30,佳大世界股份有限公司,上市,鋼鐵工業,806945360,80694536
2034,2026-08-30,允強實業股份有限公司,上市,鋼鐵工業,5289955890,528995589
2035,2026-08-30,唐榮鐵工廠股份有限公司,上櫃,鋼鐵工業,3500000000,350000000
2038,2026-08-30,海光企業股份有限公司,上市,鋼鐵工業,1941343030,194134303
2049,2026-08-30,上銀科技股份有限公司,上市,電機機械,3537922400,353792240
2059,2026-08-30,川湖科技股份有限公司,上市,電子零組件,952970720,95297072
2061,2026-08-30,風青實業股份有限公司,上櫃,電器電纜,573780520,57378052
2062,2026-08-30,橋椿金屬股份有限公司,上市,居家生活,1999941520,199994152
2063,2026-08-30,世鎧精密股份有限公司,上櫃,鋼鐵工業,481014530,48101453
2064,2026-08-30,晉椿工業股份有限公司,上櫃,鋼鐵工業,693300000,69330000
2065,2026-08-30,世豐螺絲股份有限公司,上櫃,鋼鐵工業,635167070,63516707
2066,2026-08-30,世德工業股份有限公司,上櫃,電機機械,444495270,44449527
2067,2026-08-30,嘉鋼精密工業股份有限公司,上櫃,電機機械,451381770,45138177
2069,2026-08-30,運錩鋼鐵股份有限公司,上市,鋼鐵工業,1663868360,166386836
2070,2026-08-30,精湛光學科技股份有限公司,上櫃,電機機械,417828000,41782800
2072,2026-08-30,世紀能源設備股份有限公司,上市,綠能環保,1920000000,192000000
2073,2026-08-30,雄順金屬股份有限公司,上櫃,鋼鐵工業,275000000,27500000
2101,2026-08-30,南港輪胎股份有限公司,上市,橡膠工業,7339349040,733934904
2102,2026-08-30,泰豐輪胎股份有限公司,上市,橡膠工業,4733292070,473329207
2103,2026-08-30,台橡股份有限公司,上市,橡膠工業,8257099780,825709978
